epoch,state,action,reason,old_lr,new_lr,reward,q_value,exploration_rate,dice_score,val_loss
1,insufficient_data,increase,rl_policy_increase,0.001,0.0012,0,0.0832619845547938,0.2,0.31877389906047265,1.6806676149368287
2,insufficient_data,increase,rl_policy_increase,0.0012,0.0014399999999999999,4.62046938708648,0.544476303417894,0.19,0.5109438029174352,1.564705628156662
3,improving,decrease,rl_policy_decrease,0.0014399999999999999,0.0007199999999999999,5.670447032630165,0.07151893663724194,0.19,0.7280522395376147,1.3562151432037353
4,improving,decrease,rl_policy_decrease,0.0007199999999999999,0.00035999999999999997,8.564704489390703,0.9272741962099398,0.1805,0.9004442227448112,0.8359406858682632
5,improving,decrease,rl_policy_decrease,0.00035999999999999997,0.00017999999999999998,4.877492592331428,1.4057507134809832,0.1805,0.9416303618508979,0.6187844961881638
6,improving,decrease,rl_policy_decrease,0.00017999999999999998,8.999999999999999e-05,4.030952190490371,1.7947884253952107,0.171475,0.952976059319776,0.4713621258735657
7,oscillating,maintain,default,8.999999999999999e-05,8.999999999999999e-05,-0.2176534093821787,0.038344151882577775,0.171475,0.9525845937471656,0.44293173402547836
8,oscillating,maintain,default,8.999999999999999e-05,8.999999999999999e-05,2.7357194993292193,0.31520721196998597,0.16290124999999997,0.9546024160802413,0.42036869525909426
9,oscillating,maintain,default,8.999999999999999e-05,8.999999999999999e-05,2.759050988807528,0.587960238731039,0.15475618749999998,0.9611079995362507,0.39771638810634613
10,oscillating,maintain,default,8.999999999999999e-05,8.999999999999999e-05,2.721141849228795,0.8541948212666082,0.14701837812499996,0.9656785322295287,0.3778874695301056
11,improving,increase,rl_policy_increase,8.999999999999999e-05,0.00010799999999999998,2.680831007426936,0.06027633760716439,0.13966745921874996,0.9668835786579625,0.3604068920016289
12,oscillating,maintain,in_cooldown_0,0.00010799999999999998,0.00010799999999999998,0.6689530374395937,1.1809187189360604,0.13268408625781244,0.966403205191711,0.3432714015245438
13,oscillating,maintain,default,0.00010799999999999998,0.00010799999999999998,2.6653104867235404,1.1809187189360604,0.13268408625781244,0.9712144413685113,0.3291459709405899
14,oscillating,maintain,default,0.00010799999999999998,0.00010799999999999998,0.6027570287674895,1.2293852346234488,0.1260498819449218,0.9642025821559982,0.3153643384575844
15,oscillating,decrease,rl_policy_decrease,0.00010799999999999998,5.399999999999999e-05,0.6820720777881507,0.07917250380826646,0.11974738784767572,0.9703828217931418,0.30024725049734113
16,oscillating,maintain,in_cooldown_0,5.399999999999999e-05,5.399999999999999e-05,1.631260080699445,1.2852985900560294,0.11376001845529193,0.9721716641859682,0.2880156636238098
17,oscillating,maintain,default,5.399999999999999e-05,5.399999999999999e-05,-0.40675294316186783,1.2852985900560294,0.11376001845529193,0.9698079259344922,0.27750908881425856
18,oscillating,maintain,default,5.399999999999999e-05,5.399999999999999e-05,2.6214878637826766,1.5345943905337367,0.10807201753252733,0.9734686153129987,0.26719064712524415
19,oscillating,maintain,default,5.399999999999999e-05,5.399999999999999e-05,0.5575095388049646,1.5749994005088959,0.10266841665590096,0.9688250791576708,0.25911792516708376
20,oscillating,maintain,default,5.399999999999999e-05,5.399999999999999e-05,2.651836558685026,1.8244330623723095,0.0975349958231059,0.9750986482260473,0.2470710538327694
