epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping
1,0.6706020869314671,0.528260150551796,0.5853418388570985,0.9388740673236838,0.66287191857576,0.43649431230610136,2.290980596555237,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
2,0.347741412371397,0.4399424433708191,0.6736878572663265,0.9566526363734354,0.7263116936092685,0.5311663479923519,1.8826493880489559,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
3,0.31140170581638815,0.2723231852054596,0.7526649887899737,0.9585653660059476,0.7792825152497399,0.6358985151748262,1.572577976102165,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
4,0.2277111668139696,0.23988999500870706,0.8000998617762,0.8454708363767119,0.8218307187903229,0.9495859048665212,1.0530906102071569,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
5,0.19575420431792737,0.40493418127298353,0.41861391067504883,0.8130151281324636,0.39482226485372157,0.06350745386581565,15.746183150609241,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
6,0.15554474042728544,0.22171804048120974,0.8481598800652577,0.8690598018205729,0.8686166241899572,0.9967180040918391,1.003292802873719,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
7,0.1365617612376809,0.22544277980923652,0.88337044567029,0.9316016842456781,0.8844286130396549,0.9035782663233644,1.1067109925839331,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
8,0.1071759294718504,0.1905934575945139,0.8899180866133884,0.9063130331291729,0.8988615944961492,0.9832735049262965,1.0170110299829114,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
9,0.1349168793298304,0.16266185101121663,0.9055018154600153,0.9295051098496384,0.9087566951790166,0.9568742311522465,1.045069422337586,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
10,0.1095890186727047,0.140033792052418,0.9103176261898736,0.9465139259006767,0.9111156843582231,0.9276017605364613,1.0780488379212094,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
11,0.09496735651046037,0.12910192795097827,0.9189890027488341,0.9638302195992133,0.919409526757715,0.9096672439386443,1.0993030766615672,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
12,0.09980526892468333,0.14017221778631211,0.9110074363101699,0.923703721104623,0.9168380606953164,0.9847667950363714,1.0154688450508387,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
13,0.10539077194407583,0.13875177782028913,0.9236078247872198,0.9566208552306243,0.9241039220696932,0.9335906007804018,1.0711333202841649,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
14,0.08475513802841306,0.161888512596488,0.8984024975595719,0.9139919562840688,0.9056984565683617,0.9817140861408739,1.0186265167397244,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
15,0.08054744033142924,0.13891518153250218,0.9142890496071218,0.9528963627749372,0.914780461692531,0.9222213896530684,1.0843383283228674,0.3,4,160,40,SGD,Dice,None,UNet,0.0,0.0,15,64,0.0
