epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping,agent_action,agent_reward
1,1.8316033393144608,1.6806676149368287,0.31877389906047265,0.9577344525595032,0.5944056043228871,0.18963833799875526,5.273195338837887,0.001,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,increase,0
2,1.6236110597848892,1.564705628156662,0.5109438029174352,0.9799197321610182,0.6703595990509686,0.3434633213671212,2.911519040867597,0.0014399999999999999,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,increase,4.62046938708648
3,1.4740393251180648,1.3562151432037353,0.7280522395376147,0.9900147544045169,0.7844022006094289,0.5742148002807098,1.7415085774716037,0.0014399999999999999,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,decrease,5.670447032630165
4,1.1562558218836785,0.8359406858682632,0.9004442227448112,0.9949058216977823,0.9085502738983251,0.8229828971363793,1.2150920796526428,0.00035999999999999997,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,decrease,8.564704489390703
5,0.7199630752205849,0.6187844961881638,0.9416303618508979,0.99321056130823,0.9438703096912977,0.8989214620481846,1.1124442370321306,0.00035999999999999997,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,decrease,4.877492592331428
6,0.5372963458299637,0.4713621258735657,0.952976059319776,0.9926497964387236,0.9542322335200104,0.9212606446773141,1.085469140332447,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,decrease,4.030952190490371
7,0.44768760204315183,0.44293173402547836,0.9525845937471656,0.9947237848466142,0.9541177455714687,0.9168570982810679,1.0906825086208192,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,-0.2176534093821787
8,0.4226111777126789,0.42036869525909426,0.9546024160802413,0.9951431088613225,0.9560366423853166,0.9199407445575164,1.087026535041658,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,2.7357194993292193
9,0.39934123679995537,0.39771638810634613,0.9611079995362507,0.9930837617993286,0.9619146828333138,0.9361000728914388,1.0682618546446494,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,2.759050988807528
10,0.3794033467769623,0.3778874695301056,0.9656785322295287,0.9915909424636847,0.9661737008527014,0.9478001242057995,1.055074772054858,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,2.721141849228795
11,0.36089506819844247,0.3604068920016289,0.9668835786579625,0.9918684018046143,0.9673488002895124,0.9496443145340688,1.0530258378797726,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,increase,2.680831007426936
12,0.34379269778728483,0.3432714015245438,0.966403205191711,0.9936360808069342,0.9669933095738581,0.9453718114181597,1.0577848714358133,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,increase,0.6689530374395937
13,0.3278925269842148,0.3291459709405899,0.9712144413685113,0.9904417784795715,0.9715007574234243,0.9609842800740104,1.040599748336138,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,2.6653104867235404
14,0.31416452303528786,0.3153643384575844,0.9642025821559982,0.9956154367493326,0.9650603866717701,0.9374481663175946,1.0667256451395242,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,0.6027570287674895
15,0.30006207153201103,0.30024725049734113,0.9703828217931418,0.994235635546095,0.9708446691558458,0.9520381861575179,1.0503780358181418,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,decrease,0.6820720777881507
16,0.28770340606570244,0.2880156636238098,0.9721716641859682,0.9937380273392461,0.9725443559400221,0.9565079624179633,1.045469603276582,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,decrease,1.631260080699445
17,0.2763116043061018,0.27750908881425856,0.9698079259344922,0.9954843204294921,0.9703711819639967,0.9485660345138368,1.0542228623150358,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,-0.40675294316186783
18,0.26545939072966573,0.26719064712524415,0.9734686153129987,0.9939904871548545,0.9738107286624842,0.9585882194521391,1.0432008027091433,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,2.6214878637826766
19,0.25635581873357294,0.25911792516708376,0.9688250791576708,0.9965447384661891,0.9695135434968957,0.9446856248615373,1.0585532093246048,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,0.5575095388049646
20,0.24661586098372937,0.2470710538327694,0.9750986482260473,0.9948594543694774,0.9754262827352247,0.9601456070245291,1.0415086968933585,8.999999999999999e-05,4,160,40,Adam,DiceCE,Flipping,UNet,0.0,1e-05,20,64,1.0,maintain,2.651836558685026
